id,med_num_br,pct_larg_house_occup,pct_rec_immig5,pct_born_same_state,pct_rec_immig10,pct_rec_immig8,pct_b_sor_more,med_fam_inc,pct_larg_house_fam,own_occ_med_val,violent_crimes_per_pop
0,0.0,0.15,0.01,0.88,0.01,0.02,0.14,0.18,0.18,0.1,0.62
1,0.5,0.24,0.08,0.51,0.08,0.09,0.65,0.76,0.21,0.61,0.01
2,0.0,0.34,0.04,0.65,0.04,0.04,0.27,0.2,0.39,0.09,0.67
3,0.0,0.65,1.0,0.37,1.0,1.0,0.34,0.33,0.7,0.68,0.34
4,0.0,0.31,0.3,0.57,0.26,0.28,0.49,0.23,0.45,0.12,0.33
5,0.5,0.22,0.03,0.79,0.02,0.02,0.43,0.59,0.22,0.49,0.03
6,0.0,0.14,0.04,0.6,0.03,0.03,0.17,0.24,0.15,0.17,0.12
7,0.0,0.08,0.52,0.56,0.4,0.47,0.97,0.27,0.15,0.16,0.09
8,0.0,0.13,0.03,0.86,0.06,0.05,0.2,0.34,0.14,0.3,0.14
9,0.5,0.33,0.03,0.52,0.06,0.05,0.2,0.4,0.34,0.19,0.23
10,0.0,0.11,0.1,0.79,0.1,0.12,0.3,0.38,0.13,0.31,0.25
11,0.0,0.25,0.92,0.22,0.9,0.82,0.3,0.37,0.28,0.23,0.39
12,0.0,0.97,0.68,0.57,0.69,0.65,0.09,0.18,0.93,0.13,0.31
13,0.5,0.1,0.24,0.51,0.24,0.26,0.57,0.58,0.12,0.61,0.22
14,0.0,0.19,0.02,0.84,0.01,0.02,0.13,0.13,0.22,0.05,0.55
15,0.5,0.17,0.09,0.82,0.08,0.08,0.39,0.49,0.17,0.38,0.15
16,0.5,0.19,0.75,0.23,0.74,0.78,0.91,0.97,0.17,0.98,0.02
17,0.0,0.0,0.97,0.13,0.89,0.87,0.61,0.29,0.06,0.98,1.0
18,0.5,0.28,0.13,0.8,0.12,0.14,0.12,0.2,0.36,0.03,0.49
19,0.5,0.16,0.0,0.67,0.0,0.0,0.23,0.29,0.15,0.11,0.02
20,0.5,0.19,0.1,0.73,0.06,0.08,0.62,0.42,0.18,0.14,0.05
21,0.5,0.12,0.0,0.85,0.01,0.0,0.24,0.21,0.14,0.04,0.3
22,0.5,0.19,0.25,0.7,0.17,0.2,0.37,0.46,0.19,0.41,0.01
23,0.5,0.32,0.03,0.77,0.02,0.03,0.31,0.19,0.37,0.08,0.53
24,0.5,0.27,0.04,0.86,0.06,0.06,0.37,0.5,0.23,0.39,0.02
25,0.5,0.15,0.13,0.64,0.13,0.14,0.77,0.55,0.15,0.19,0.1
26,0.5,0.23,0.07,0.78,0.05,0.06,0.22,0.43,0.22,0.24,0.12
27,0.5,0.33,0.2,0.51,0.26,0.25,0.6,0.85,0.29,0.9,0.06
28,0.0,0.39,0.7,0.55,0.57,0.61,0.12,0.21,0.47,0.18,0.38
29,0.5,0.13,0.03,0.02,0.03,0.03,0.2,0.26,0.12,0.17,0.08
30,0.5,0.63,0.13,0.58,0.15,0.11,0.15,0.57,0.59,0.53,0.25
31,0.5,0.13,0.03,0.9,0.05,0.03,0.37,0.29,0.16,0.13,0.05
32,0.5,0.16,0.01,0.9,0.01,0.01,0.09,0.19,0.18,0.02,0.03
33,0.0,0.33,0.12,0.79,0.13,0.12,0.29,0.25,0.35,0.12,0.71
34,0.5,0.27,0.12,0.44,0.13,0.12,0.55,0.73,0.25,0.53,0.04
35,0.5,0.14,0.08,0.52,0.05,0.06,0.22,0.25,0.17,0.13,0.1
36,0.5,0.12,0.01,0.88,0.01,0.01,0.34,0.31,0.12,0.11,0.01
37,0.5,0.23,0.08,0.52,0.05,0.07,0.3,0.35,0.23,0.14,0.12
38,0.0,0.17,0.63,0.15,0.6,0.6,0.81,0.74,0.2,0.59,0.4
39,0.5,0.39,0.02,0.87,0.02,0.02,0.35,0.04,0.45,0.07,0.33
40,0.5,0.28,0.05,0.74,0.05,0.05,0.64,0.72,0.24,0.56,0.04
41,0.0,0.06,0.08,0.54,0.07,0.08,0.43,0.4,0.06,0.27,0.06
