pers_per_fam,population,pct_speak_engl_only,pct_use_pub_trans,pct_wo_full_plumb,pct_occup_manu,rent_high_q,pct_occup_mgmt_prof,pct_hous_own_occ,age_pct16t24,violent_crimes_per_pop,squirrel_id
0.35,0.0,0.91,0.03,0.06,0.77,0.14,0.23,0.31,0.28,0.62,_0_
0.58,0.02,0.9,0.05,0.09,0.17,0.88,0.66,0.9,0.24,0.01,_1_
0.55,0.96,0.95,0.26,0.3,0.47,0.23,0.36,0.45,0.36,0.67,_2_
0.73,0.04,0.0,0.27,0.26,0.38,0.67,0.38,0.36,0.35,0.34,_3_
0.49,0.24,0.76,0.32,0.22,0.35,0.21,0.53,0.37,0.38,0.33,_4_
0.54,0.02,0.93,0.12,0.17,0.24,0.69,0.54,0.81,0.24,0.03,_5_
0.4,0.01,0.9,0.02,0.43,0.76,0.34,0.31,0.49,0.28,0.12,_6_
0.41,0.07,0.78,0.22,0.07,0.17,0.3,0.63,0.03,1.0,0.09,_7_
0.39,0.01,0.78,0.01,0.41,0.56,0.35,0.28,0.42,0.29,0.14,_8_
0.58,0.04,0.84,0.29,0.11,0.43,0.42,0.35,0.79,0.24,0.23,_9_
0.39,0.03,0.84,0.11,0.09,0.39,0.44,0.39,0.49,0.27,0.25,_10_
0.47,0.01,0.2,0.16,1.0,0.21,0.39,0.43,0.56,0.2,0.39,_11_
0.93,0.01,0.0,0.0,0.59,0.77,0.25,0.17,0.46,0.39,0.31,_12_
0.35,0.03,0.8,0.58,0.02,0.13,0.87,0.66,0.54,0.2,0.22,_13_
0.4,0.0,0.97,0.0,0.09,0.86,0.12,0.17,0.46,0.29,0.55,_14_
0.47,0.0,0.9,0.02,0.08,0.32,0.52,0.5,0.63,0.32,0.15,_15_
0.52,0.01,0.49,0.68,0.34,0.06,1.0,1.0,0.79,0.2,0.02,_16_
0.08,0.04,0.42,0.33,0.16,0.1,0.66,0.8,0.01,0.11,1.0,_17_
0.47,0.11,0.65,0.41,0.43,0.8,0.23,0.19,0.46,0.36,0.49,_18_
0.6,0.0,0.95,0.0,0.09,0.42,0.2,0.25,0.57,0.31,0.02,_19_
0.55,0.02,0.95,0.01,0.21,0.19,0.28,0.59,0.62,0.44,0.05,_20_
0.38,0.03,0.95,0.04,0.44,0.48,0.14,0.36,0.58,0.28,0.3,_21_
0.51,0.02,0.74,0.05,0.08,0.46,0.55,0.43,0.54,0.3,0.01,_22_
0.54,0.3,0.97,0.19,0.44,0.37,0.2,0.42,0.52,0.3,0.53,_23_
