id,pct_not_speak_engl_well,rent_low_q,num_immig,pers_per_occup_hous,pct_teen2_par,householdsize,pers_per_own_occ_hous,pct_employ,pct_same_house85,pct_pop_under_pov,violent_crimes_per_pop
0,0.07,0.08,0.0,0.31,0.0,0.32,0.27,0.35,0.67,0.58,0.62
1,0.03,0.47,0.01,0.65,0.83,0.65,0.64,0.63,0.68,0.05,0.01
2,0.04,0.13,0.06,0.45,0.16,0.44,0.48,0.42,0.58,0.61,0.67
3,1.0,0.61,0.11,0.68,0.67,0.64,0.63,0.45,0.42,0.4,0.34
4,0.13,0.19,0.09,0.31,0.59,0.31,0.42,0.5,0.44,0.43,0.33
5,0.01,0.65,0.0,0.52,0.85,0.49,0.55,0.58,0.8,0.04,0.03
6,0.05,0.25,0.0,0.37,0.71,0.35,0.43,0.44,0.47,0.34,0.12
7,0.07,0.28,0.03,0.29,0.56,0.58,0.57,0.22,0.0,1.0,0.09
8,0.08,0.23,0.0,0.36,0.59,0.35,0.42,0.48,0.66,0.24,0.14
9,0.07,0.35,0.01,0.55,0.63,0.52,0.6,0.52,0.78,0.13,0.23
10,0.08,0.4,0.01,0.32,0.62,0.31,0.46,0.54,0.65,0.21,0.25
11,0.66,0.41,0.03,0.43,0.73,0.41,0.46,0.52,0.48,0.25,0.39
12,1.0,0.22,0.03,0.94,0.64,0.87,0.81,0.36,0.59,0.56,0.31
13,0.1,0.72,0.02,0.34,0.65,0.32,0.42,0.7,0.43,0.08,0.22
14,0.03,0.06,0.0,0.34,0.3,0.33,0.3,0.35,0.63,0.52,0.55
15,0.03,0.37,0.0,0.48,0.79,0.47,0.57,0.6,0.71,0.12,0.15
16,0.3,0.86,0.02,0.56,0.69,0.53,0.57,0.46,0.81,0.07,0.02
17,0.48,0.53,0.08,0.0,0.44,0.0,0.0,0.58,0.38,0.29,1.0
18,0.33,0.18,0.02,0.37,0.28,0.36,0.4,0.39,0.6,0.51,0.49
19,0.02,0.2,0.0,0.55,0.7,0.5,0.73,0.86,0.54,0.19,0.02
20,0.02,0.29,0.0,0.56,0.61,0.58,0.62,0.69,0.46,0.24,0.05
21,0.03,0.1,0.0,0.32,0.52,0.34,0.39,0.42,0.6,0.33,0.3
22,0.23,0.36,0.02,0.5,0.72,0.47,0.6,0.58,0.68,0.1,0.01
23,0.03,0.12,0.01,0.44,0.25,0.42,0.45,0.34,0.62,0.67,0.53
24,0.03,0.41,0.0,0.66,0.78,0.6,0.65,0.71,0.76,0.07,0.02
25,0.05,0.47,0.01,0.4,0.66,0.55,0.48,0.47,0.58,0.06,0.1
26,0.07,0.43,0.0,0.53,0.75,0.47,0.52,0.62,0.76,0.17,0.12
27,0.12,0.99,0.04,0.75,0.75,0.69,0.74,0.81,0.36,0.03,0.06
28,0.5,0.26,0.03,0.45,0.41,0.42,0.34,0.32,0.49,0.49,0.38
29,0.06,0.34,0.01,0.35,0.6,0.34,0.31,0.3,0.3,0.2,0.08
30,0.14,0.54,0.01,0.84,0.68,1.0,0.8,0.2,0.44,0.13,0.25
31,0.04,0.18,0.0,0.27,0.77,0.27,0.4,0.34,0.81,0.23,0.05
32,0.01,0.1,0.0,0.33,0.31,0.33,0.34,0.38,0.66,0.42,0.03
33,0.31,0.24,0.01,0.49,0.64,0.48,0.47,0.39,0.59,0.39,0.71
34,0.06,0.76,0.01,0.6,0.82,0.62,0.64,0.61,0.6,0.03,0.04
35,0.03,0.19,0.0,0.31,0.46,0.31,0.33,0.31,0.48,0.36,0.1
36,0.01,0.17,0.0,0.4,0.6,0.48,0.51,0.64,0.49,0.18,0.01
37,0.04,0.33,0.0,0.52,0.74,0.49,0.52,0.57,0.56,0.09,0.12
38,0.45,0.46,0.1,0.31,0.66,0.41,0.41,0.46,0.43,0.16,0.4
39,0.02,0.03,0.0,0.49,0.14,0.68,0.46,0.17,0.49,1.0,0.33
40,0.04,0.4,0.0,0.72,0.86,0.66,0.72,0.74,0.79,0.01,0.04
41,0.08,0.39,0.0,0.3,0.62,0.29,0.43,0.67,0.38,0.15,0.06
42,0.39,0.34,0.34,0.4,0.37,0.39,0.4,0.42,0.41,0.45,0.53
43,0.04,0.51,0.0,0.68,0.85,0.63,0.7,0.77,0.66,0.06,0.01
44,0.31,0.75,0.06,0.45,0.66,0.44,0.46,0.63,0.57,0.11,0.12
45,0.04,0.23,0.0,0.37,0.63,0.41,0.43,0.28,0.53,0.5,0.0
46,0.1,0.39,0.02,0.17,0.74,0.16,0.14,0.0,0.64,0.11,0.04
47,0.06,0.2,0.0,0.45,0.72,0.42,0.45,0.58,0.46,0.24,0.07
48,0.06,0.56,0.0,0.47,0.68,0.42,0.5,0.64,0.7,0.01,0.01
49,0.03,0.39,0.01,0.88,0.75,0.8,0.69,0.72,0.13,0.23,0.1
50,0.08,0.65,0.02,0.56,0.83,0.52,0.6,0.63,0.8,0.03,0.04
51,0.05,0.27,0.01,0.35,0.7,0.33,0.44,0.42,0.65,0.25,0.22
52,0.13,0.24,0.01,0.32,0.33,0.32,0.31,0.34,0.44,0.49,0.45
53,0.14,0.12,0.0,0.56,0.22,0.62,0.46,0.29,0.57,0.62,0.35
54,0.06,0.34,0.01,0.36,0.49,0.35,0.38,0.6,0.29,0.28,0.18
55,0.13,0.09,0.0,0.38,0.56,0.43,0.36,0.23,0.49,0.63,0.29
56,0.01,0.1,0.0,0.32,0.41,0.3,0.31,0.48,0.69,0.46,0.4
57,0.35,0.71,0.06,0.31,0.4,0.31,0.3,0.63,0.57,0.16,0.38
58,0.06,0.3,0.0,0.42,0.49,0.39,0.46,0.42,0.66,0.28,0.1
59,0.01,0.08,0.0,0.28,0.53,0.27,0.3,0.25,0.61,0.48,0.24
60,0.02,0.28,0.0,0.47,0.67,0.43,0.53,0.66,0.71,0.08,0.14
61,0.02,0.32,0.0,0.61,0.67,0.57,0.59,0.59,0.54,0.16,0.07
62,0.04,0.07,0.0,0.4,0.43,0.42,0.52,0.36,0.7,0.32,0.21
63,0.02,0.11,0.01,0.47,0.64,0.45,0.56,0.51,0.46,0.4,0.14
64,0.07,0.41,0.03,0.5,0.65,0.45,0.48,0.55,0.19,0.22,0.25
65,0.01,0.07,0.0,0.34,0.37,0.34,0.45,0.3,0.77,0.4,0.05
66,0.06,0.22,0.02,0.28,0.41,0.3,0.26,0.3,0.43,0.36,0.63
67,0.67,0.6,0.1,0.51,0.46,0.49,0.48,0.57,0.57,0.25,0.84
68,0.05,0.1,0.0,0.45,0.62,0.41,0.42,0.25,0.71,0.5,0.04
69,0.04,0.09,0.0,0.41,0.65,0.41,0.52,0.52,0.5,0.38,0.02
