med_rent,total_pct_div,pct_work_mom,male_pct_nev_marr,male_pct_divorce,per_cap_inc,pct_unemployed,pct_vacant_boarded,own_occ_hi_quart,rent_median,Percentviolent_crimes_per_pop,is_this_the_id_col,or_maybe_this_is_the_id_col
0.16,0.74,0.69,0.55,0.74,0.2,0.48,0.46,0.11,0.12,0.62,0,0
0.78,0.26,0.43,0.38,0.26,0.61,0.26,0.1,0.63,0.61,0.01,1,1
0.22,0.78,0.62,0.58,0.73,0.22,0.58,0.96,0.1,0.2,0.67,2,2
0.59,0.45,0.3,0.56,0.38,0.29,0.38,0.15,0.72,0.6,0.34,3,3
0.17,0.68,0.45,0.54,0.71,0.29,0.33,0.52,0.14,0.2,0.33,4,4
0.63,0.32,0.36,0.38,0.3,0.55,0.24,0.27,0.54,0.64,0.03,5,5
0.29,0.56,0.65,0.32,0.58,0.22,0.47,0.17,0.15,0.31,0.12,6,6
0.29,0.06,0.49,1.0,0.05,0.14,0.36,0.07,0.17,0.29,0.09,7,7
0.31,0.47,0.63,0.4,0.45,0.32,0.41,0.13,0.29,0.32,0.14,8,8
0.35,0.4,0.45,0.42,0.38,0.33,0.23,0.45,0.18,0.37,0.23,9,9
0.37,0.56,0.52,0.47,0.58,0.37,0.3,0.11,0.31,0.41,0.25,10,10
0.37,0.69,0.58,0.34,0.7,0.35,0.41,0.06,0.23,0.37,0.39,11,11
0.26,0.43,0.51,0.5,0.33,0.11,1.0,0.4,0.12,0.25,0.31,12,12
0.7,0.68,0.62,0.43,0.63,0.58,0.15,0.11,0.61,0.7,0.22,13,13
0.14,0.6,0.45,0.42,0.54,0.15,0.4,0.15,0.06,0.11,0.55,14,14
0.46,0.33,0.64,0.42,0.31,0.42,0.38,0.0,0.37,0.45,0.15,15,15
0.95,0.18,0.19,0.35,0.12,1.0,0.11,0.0,1.0,0.94,0.02,16,16
0.51,0.78,0.4,1.0,0.7,0.66,0.45,0.07,1.0,0.55,1.0,17,17
0.2,0.69,0.42,0.56,0.67,0.2,0.57,0.69,0.04,0.21,0.49,18,18
0.18,0.44,1.0,0.38,0.38,0.21,0.22,0.11,0.1,0.22,0.02,19,19
0.3,0.39,0.73,0.44,0.29,0.33,0.16,0.07,0.14,0.28,0.05,20,20
0.13,0.49,0.71,0.34,0.5,0.22,0.32,0.41,0.05,0.13,0.3,21,21
0.45,0.38,0.59,0.44,0.36,0.37,0.42,0.1,0.37,0.45,0.01,22,22
0.2,0.73,0.54,0.45,0.68,0.22,0.79,1.0,0.1,0.18,0.53,23,23
0.46,0.22,0.44,0.27,0.23,0.41,0.05,0.0,0.38,0.43,0.02,24,24
0.45,0.21,0.71,0.58,0.15,0.47,0.26,0.0,0.18,0.44,0.1,25,25
0.45,0.46,0.63,0.34,0.44,0.35,0.24,0.14,0.26,0.45,0.12,26,26
0.9,0.32,0.56,0.32,0.26,0.71,0.11,0.07,0.94,0.93,0.06,27,27
0.29,0.89,0.22,0.42,0.89,0.22,0.62,0.28,0.19,0.3,0.38,28,28
0.36,0.47,0.62,0.13,0.49,0.32,0.15,0.01,0.18,0.34,0.08,29,29
0.65,0.44,0.23,0.72,0.41,0.34,0.29,0.28,0.54,0.6,0.25,30,30
0.22,0.36,0.4,0.38,0.37,0.35,0.21,0.07,0.15,0.21,0.05,31,31
0.13,0.76,0.76,0.31,0.72,0.17,0.65,0.19,0.02,0.12,0.03,32,32
0.28,0.45,0.61,0.28,0.41,0.23,0.36,0.14,0.13,0.27,0.71,33,33
0.7,0.23,0.41,0.46,0.23,0.58,0.15,0.21,0.5,0.69,0.04,34,34
