id,pct_empl_prof_serv,med_own_cost_pct_inc,num_in_shelters,pct_work_mom_young_kids,hous_vacant,pct_same_city85,pct_w_farm_self,white_per_cap,pct_hous_occup,pop_dens,violent_crimes_per_pop
0, , , , , , , , , , , 
1, , , , , , , , , , , 
2, , , , , , , , , , , 
3, , , , , , , , , , , 
4, , , , , , , , , , , 
5, , , , , , , , , , , 
6,0.37,0.74,0.0,0.6,0.03,0.71,0.05,0.21,0.59,0.03,0.12
7,1.0,0.45,0.0,0.46,0.1,0.0,0.78,0.15,0.59,0.15,0.09
8,0.32,0.46,0.0,0.64,0.04,0.88,0.1,0.32,0.53,0.11,0.14
9, , , , , , , , , , , 
10, , , , , , , , , , , 
11, , , , , , , , , , , 
12,0.2,0.61,0.0,0.48,0.0,0.87,0.6,0.18,0.96,0.31,0.31
13,0.43,0.75,0.0,0.56,0.03,0.5,0.2,0.57,0.83,0.39,0.22
14,0.13,0.36,0.0,0.57,0.01,0.64,0.18,0.18,0.75,0.17,0.55
15, , , , , , , , , , , 
16, , , , , , , , , , , 
17,0.39,1.0,0.01,0.49,0.07,0.58,0.24,0.66,0.8,1.0,1.0
18,0.3,0.21,0.1,0.48,0.15,0.8,0.08,0.23,0.66,0.67,0.49
19, , , , , , , , , , , 
20,0.67,0.25,0.0,0.57,0.02,0.59,0.33,0.37,0.8,0.08,0.05
21,0.48,0.2,0.01,0.64,0.04,0.74,0.81,0.21,0.76,0.15,0.3
22, , , , , , , , , , , 
23,0.59,0.42,0.07,0.57,0.63,0.81,0.17,0.38,0.43,0.17,0.53
24,0.29,0.51,0.0,0.42,0.0,0.68,0.94,0.39,0.93,0.03,0.02
25, , , , , , , , , , , 
26, , , , , , , , , , , 
27, , , , , , , , , , , 
28, , , , , , , , , , , 
29,0.21,0.55,0.0,0.64,0.15,0.23,0.11,0.31,0.0,0.05,0.08
30, , , , , , , , , , , 
31, , , , , , , , , , , 
32, , , , , , , , , , , 
33,0.44,0.44,0.01,0.57,0.06,0.6,0.61,0.24,0.6,0.09,0.71
34, , , , , , , , , , , 
35, , , , , , , , , , , 
36, , , , , , , , , , , 
37, , , , , , , , , , , 
38,0.83,0.51,0.0,0.28,0.06,0.54,0.33,0.9,0.74,0.28,0.4
39,0.81,0.51,0.0,0.59,0.04,0.6,0.55,0.18,0.48,0.14,0.33
40, , , , , , , , , , , 
41, , , , , , , , , , , 
42, , , , , , , , , , , 
43,0.27,0.43,0.0,0.66,0.01,0.54,0.4,0.36,0.89,0.04,0.01
44, , , , , , , , , , , 
45, , , , , , , , , , , 
46, , , , , , , , , , , 
47,0.27,0.33,0.0,0.63,0.03,0.58,0.53,0.22,0.83,0.08,0.07
48, , , , , , , , , , , 
49, , , , , , , , , , , 
50, , , , , , , , , , , 
51, , , , , , , , , , , 
52, , , , , , , , , , , 
