id,pct_illeg,pct_kids2_par,num_illeg,pct_w_inv_inc,black_per_cap,race_pct_white,racepctblack,own_occ_low_quart,hisp_per_cap,violent_crimes_per_pop
0,ªQ¹«,0.03,0.03,0.28,0.21,0.31,0.86,0.1,0.15,0.62
1,0.07,0.92,0.0,0.78,0.41,0.96,0.02,0.59,0.36,0.01
2,0.94,0.15,1.0,0.25,0.18,0.14,1.0,0.09,0.33,0.67
3,0.29,0.59,0.02,0.41,0.29,0.2,0.02,0.6,0.37,0.34
4,0.25,0.6,0.09,0.48,0.21,0.81,0.03,0.12,0.24,0.33
5,0.07,0.84,0.0,0.71,0.11,0.98,0.01,0.47,0.68,0.03
6,0.23,0.6,0.01,0.45,0.34,0.98,0.01,0.18,0.52,0.12
7,0.24,0.74,0.01,0.53,0.17,0.74,0.12,0.17,0.18,0.09
8,0.25,0.58,0.01,0.39,0.21,0.96,0.01,0.31,0.22,0.14
9,0.27,0.63,0.02,0.52,0.33,0.71,0.29,0.21,0.34,0.23
10,0.19,0.62,0.01,0.5,0.36,0.94,0.03,0.32,0.35,0.25
11,0.09,0.62,0.0,0.48,0.25,0.89,0.04,0.25,0.4,0.39
12,0.46,0.5,0.02,0.23,0.13,0.2,0.0,0.15,0.23,0.31
13,0.07,0.72,0.0,0.65,0.57,0.84,0.03,0.61,0.61,0.22
14,0.47,0.31,0.01,0.18,0.17,0.59,0.52,0.05,0.32,0.55
15,0.15,0.8,0.0,0.52,0.19,0.96,0.03,0.41,0.23,0.15
16,0.03,0.93,0.0,0.82,0.43,0.77,0.02,0.83,0.63,0.02
17,0.28,0.54,0.01,0.41,0.44,0.85,0.07,0.82,0.54,1.0
18,0.72,0.25,0.12,0.38,0.22,0.68,0.19,0.04,0.18,0.49
19,0.1,0.8,0.0,0.42,0.02,0.98,0.0,0.13,0.43,0.02
20,0.32,0.68,0.01,0.49,0.17,0.72,0.33,0.16,0.32,0.05
21,0.19,0.6,0.01,0.49,0.16,0.93,0.06,0.04,0.28,0.3
22,0.19,0.72,0.01,0.47,0.39,0.95,0.03,0.43,0.31,0.01
23,0.83,0.24,0.39,0.31,0.14,0.3,0.87,0.07,0.34,0.53
